 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
   315    -0.000002734    -0.000560881     -0.000000001     0.000000026
   316    -0.000120343    -0.000551917      0.000000010     0.000000015
   317     0.000009830    -0.000561279      0.000000007     0.000000019
   318    -0.000134324    -0.000551133     -0.000000026     0.000000075
   319     0.000023634    -0.000562021     -0.000000017    -0.000000071
   320    -0.000148809    -0.000550334     -0.000000023    -0.000000007
   321     0.000037649    -0.000562663     -0.000000011    -0.000000045
   322     0.000051910    -0.000563296      0.000000013     0.000000056
   323    -0.000162694    -0.000550501     -0.000000010 ***************
   324     0.000066249    -0.000563648      0.000000003    -0.000000048
   325    -0.000028782    -0.000548113     -0.000000010    -0.000000060
   326    -0.000054783    -0.000538136      0.000000004     0.000000030
   327    -0.000042166    -0.000536421     -0.000000008    -0.000000075
   328    -0.000067459    -0.000539033      0.000000015    -0.000000164
   329    -0.000080342    -0.000539123     -0.000000008    -0.000000138
   330    -0.000093402    -0.000538924      0.000000004     0.000000007
   331    -0.000029252    -0.000534646      0.000000017    -0.000000048
   332    -0.000015814    -0.000547239     -0.000000018     0.000000108
   333    -0.000106743    -0.000538467     -0.000000010     0.000000015
   334    -0.000003086    -0.000546988     -0.000000001    -0.000000078
   335    -0.000120156    -0.000537951     -0.000000031     0.000000071
   336     0.000009660    -0.000547220      0.000000008     0.000000097
   337    -0.000134057    -0.000537177     -0.000000007     0.000000000
   338     0.000023502    -0.000548007      0.000000002    -0.000000056
   339    -0.000148504    -0.000536386      0.000000026     0.000000082
   340     0.000037460    -0.000548670     -0.000000009     0.000000034
   341    -0.000162361    -0.000536564      0.000000000 ***************
   342     0.000051681    -0.000549319     -0.000000016    -0.000000145
   343     0.000065982    -0.000549689      0.000000015     0.000000063
   344    -0.000016266    -0.000533566     -0.000000030     0.000000052
   345    -0.000054830    -0.000523690     -0.000000018    -0.000000019
   346    -0.000042185    -0.000522306      0.000000013    -0.000000089
   347    -0.000067519    -0.000524592      0.000000000     0.000000067
   348    -0.000029407    -0.000520656     -0.000000011     0.000000056
   349    -0.000080300    -0.000525073     -0.000000006     0.000000093
   350    -0.000093235    -0.000524974      0.000000001     0.000000075
   351    -0.000106554    -0.000524517      0.000000016     0.000000007
   352    -0.000016498    -0.000519806     -0.000000007    -0.000000056
   353    -0.000003385    -0.000533132     -0.000000009    -0.000000104
   354    -0.000119936    -0.000524003     -0.000000003     0.000000048
   355     0.000009465    -0.000533209      0.000000022     0.000000067
   356    -0.000133761    -0.000523240     -0.000000031     0.000000063
   357     0.000023318    -0.000534016     -0.000000004     0.000000168
   358    -0.000148165    -0.000522465      0.000000026    -0.000000004
   359     0.000037236    -0.000534709     -0.000000003    -0.000000101
   360    -0.000161991    -0.000522654      0.000000021 ***************
   361     0.000051417    -0.000535367      0.000000007     0.000000004
   362     0.000065679    -0.000535752     -0.000000013     0.000000007
   363    -0.000003595    -0.000519275      0.000000005     0.000000138
   364    -0.000054776    -0.000509616      0.000000003     0.000000123
   365    -0.000042204    -0.000508257     -0.000000007    -0.000000004
   366    -0.000067431    -0.000510506     -0.000000006     0.000000011
   367    -0.000029463    -0.000506737     -0.000000000    -0.000000115
   368    -0.000080201    -0.000510962     -0.000000000    -0.000000022
   369    -0.000016615    -0.000505949      0.000000001    -0.000000015
   370    -0.000093069    -0.000511041      0.000000007     0.000000175
   371    -0.000106314    -0.000510597     -0.000000018    -0.000000011
   372    -0.000119577    -0.000510087     -0.000000005    -0.000000045
   373    -0.000003731    -0.000505405      0.000000016    -0.000000060
   374     0.000009505    -0.000519353     -0.000000008    -0.000000060
   375    -0.000133428    -0.000509338     -0.000000007    -0.000000045
   376     0.000023086    -0.000520065      0.000000010    -0.000000041
   377    -0.000147792    -0.000508575      0.000000001    -0.000000130
   378     0.000036976    -0.000520779      0.000000003    -0.000000089
   379    -0.000161581    -0.000508775     -0.000000007 ***************
   380     0.000051115    -0.000521443     -0.000000007    -0.000000101
   381     0.000065338    -0.000521842     -0.000000003     0.000000101
   382     0.000009276    -0.000505399     -0.000000012    -0.000000045
   383    -0.000054723    -0.000495580      0.000000014    -0.000000007
   384    -0.000042213    -0.000494268     -0.000000005     0.000000000
   385    -0.000067341    -0.000496537     -0.000000016     0.000000093
   386    -0.000029517    -0.000492828      0.000000008     0.000000011
   387    -0.000080028    -0.000497113      0.000000000     0.000000037
   388    -0.000016726    -0.000492085     -0.000000007     0.000000030
   389    -0.000092847    -0.000497164     -0.000000014     0.000000041
   390    -0.000003897    -0.000491576      0.000000001     0.000000089
   391    -0.000106062    -0.000496700     -0.000000004    -0.000000060
   392    -0.000119319    -0.000496210     -0.000000012    -0.000000104
   393    -0.000133072    -0.000495473      0.000000023     0.000000037
   394     0.000008983    -0.000491440     -0.000000007     0.000000000
   395     0.000022852    -0.000506167      0.000000004     0.000000060
   396    -0.000147381    -0.000494720     -0.000000008    -0.000000104
   397     0.000036680    -0.000506882      0.000000007     0.000000082
   398    -0.000161129    -0.000494933     -0.000000009 ***************
   399     0.000050775    -0.000507553     -0.000000007     0.000000022
   400     0.000064957    -0.000507963      0.000000004     0.000000007
   401     0.000022604    -0.000492297     -0.000000011     0.000000004
   402    -0.000054666    -0.000481624      0.000000007    -0.000000048
   403    -0.000042201    -0.000480345      0.000000003    -0.000000045
   404    -0.000067231    -0.000482599     -0.000000011     0.000000007
   405    -0.000029579    -0.000478952      0.000000023    -0.000000026
   406    -0.000079897    -0.000483102      0.000000004    -0.000000175
   407    -0.000016834    -0.000478259      0.000000001    -0.000000067
   408    -0.000092608    -0.000483312      0.000000014    -0.000000045
   409    -0.000004100    -0.000477737     -0.000000009     0.000000004
   410    -0.000105782    -0.000482858     -0.000000007     0.000000041
   411     0.000009069    -0.000477877     -0.000000011    -0.000000026
   412    -0.000119028    -0.000482367      0.000000032    -0.000000063
   413    -0.000132683    -0.000481641     -0.000000003     0.000000015
   414    -0.000146931    -0.000480907     -0.000000006     0.000000011
   415     0.000022294    -0.000478458     -0.000000005     0.000000019
   416     0.000036347    -0.000493022     -0.000000005     0.000000045
   417    -0.000160633    -0.000481132      0.000000014 ***************
   418     0.000050395    -0.000493699      0.000000002     0.000000045
   419     0.000064534    -0.000494121     -0.000000003     0.000000026
   420     0.000035979    -0.000479204      0.000000012     0.000000030
   421    -0.000054548    -0.000467875      0.000000007     0.000000045
   422    -0.000042211    -0.000466498     -0.000000005     0.000000030
   423    -0.000067020    -0.000468874      0.000000012    -0.000000063
   424    -0.000029603    -0.000465254     -0.000000010    -0.000000086
   425    -0.000079679    -0.000469387     -0.000000011     0.000000019
   426    -0.000016954    -0.000464460      0.000000007    -0.000000019
   427    -0.000092352    -0.000469491      0.000000022    -0.000000060
   428    -0.000004278    -0.000463932      0.000000014    -0.000000089
   429    -0.000105452    -0.000469045      0.000000015    -0.000000022
   430     0.000008796    -0.000464147      0.000000002     0.000000000
   431    -0.000118596    -0.000468572      0.000000024     0.000000030
   432     0.000021933    -0.000464673     -0.000000014    -0.000000063
   433    -0.000132253    -0.000467859      0.000000000     0.000000130
   434    -0.000146441    -0.000467140      0.000000010    -0.000000075
   435    -0.000160090    -0.000467379     -0.000000021 ***************
