 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
    92    -3.532166172    -1.427458268      0.000000000    -0.000000000
    93    -3.990078305    -1.474224066      0.000000000    -0.000000000
    94    -4.448589226    -1.515416666     -0.000000000     0.000000000
    95    -4.889999941    -1.555168456     -0.000000000     0.000000000
    96    -5.299381785    -1.594213248      0.000000000     0.000000000
    97    -5.670495103    -1.631275595      0.000000000     0.000000000
    98    -6.005383727    -1.665570244     -0.000000000     0.000000000
    99    -6.310436069    -1.697545750      0.000000000     0.000000000
   100    -6.593290538    -1.728224651     -0.000000000    -0.000000000
   101    -6.861687467    -1.758585331     -0.000000000    -0.000000000
   102    -7.123329136    -1.789553330     -0.000000000     0.000000000
   103    -7.386176175    -1.821925677     -0.000000000     0.000000000
   104    -7.659565794    -1.856075108     -0.000000000     0.000000000
   105     0.000000000     0.000000000      0.026498146     0.108977238
   106    -0.090368795    -0.099305559      0.000000000     0.000000000
   107    -0.218813817    -0.200151413     -0.000000000    -0.000000000
   108    -0.377684900    -0.302298220      0.000000000    -0.000000000
   109    -0.561893987    -0.404218533     -0.000000000     0.000000000
   110    -0.769693284    -0.504514393     -0.000000000     0.000000000
   111    -1.002062099    -0.602453490      0.000000000     0.000000000
   112    -1.261787629    -0.697828739     -0.000000000    -0.000000000
   113    -1.552513610    -0.790251021     -0.000000000     0.000000000
   114    -1.877618775    -0.878529261      0.000000000    -0.000000000
   115    -2.238767820    -0.960470377      0.000000000    -0.000000000
   116    -2.634564909    -1.033359394      0.000000000     0.000000000
   117    -3.059871920    -1.095128671      0.000000000    -0.000000000
   118    -3.505855440    -1.145593881      0.000000000    -0.000000000
   119    -3.960403644    -1.187000554     -0.000000000     0.000000000
   120    -4.409048696    -1.223189575     -0.000000000     0.000000000
   121    -4.837317258    -1.257821536     -0.000000000     0.000000000
   122    -5.234374094    -1.292952970      0.000000000     0.000000000
   123    -5.595714623    -1.328950739      0.000000000     0.000000000
   124    -5.922994299    -1.365302215     -0.000000000     0.000000000
   125    -6.221713957    -1.401369276     -0.000000000    -0.000000000
   126    -6.498847484    -1.436728916     -0.000000000     0.000000000
   127    -6.761549027    -1.471336135     -0.000000000    -0.000000000
   128    -7.016937235    -1.505603540     -0.000000000     0.000000000
